datetime,site_name,pm25_value
2025-08-17 01:00:00+00:00,Arepo (Ogun State),5.37
2025-08-17 02:00:00+00:00,Arepo (Ogun State),3.52
2025-08-17 03:00:00+00:00,Arepo (Ogun State),4.4
2025-08-17 04:00:00+00:00,Arepo (Ogun State),4.58
2025-08-17 05:00:00+00:00,Arepo (Ogun State),5.0
2025-08-17 06:00:00+00:00,Arepo (Ogun State),5.66
2025-08-17 07:00:00+00:00,Arepo (Ogun State),10.78
2025-08-17 08:00:00+00:00,Arepo (Ogun State),13.25
2025-08-17 09:00:00+00:00,Arepo (Ogun State),7.8
2025-08-17 10:00:00+00:00,Arepo (Ogun State),3.93
2025-08-17 11:00:00+00:00,Arepo (Ogun State),2.91
2025-08-17 12:00:00+00:00,Arepo (Ogun State),4.88
2025-08-17 13:00:00+00:00,Arepo (Ogun State),3.21
2025-08-17 14:00:00+00:00,Arepo (Ogun State),3.61
2025-08-17 15:00:00+00:00,Arepo (Ogun State),3.04
2025-08-17 16:00:00+00:00,Arepo (Ogun State),3.1
2025-08-17 17:00:00+00:00,Arepo (Ogun State),3.44
2025-08-17 18:00:00+00:00,Arepo (Ogun State),4.25
2025-08-17 19:00:00+00:00,Arepo (Ogun State),4.84
2025-08-17 20:00:00+00:00,Arepo (Ogun State),5.62
2025-08-17 21:00:00+00:00,Arepo (Ogun State),7.31
2025-08-17 22:00:00+00:00,Arepo (Ogun State),8.75
2025-08-17 23:00:00+00:00,Arepo (Ogun State),8.36
2025-08-18 00:00:00+00:00,Arepo (Ogun State),5.99
2025-08-18 01:00:00+00:00,Arepo (Ogun State),7.3
2025-08-18 02:00:00+00:00,Arepo (Ogun State),8.64
2025-08-18 03:00:00+00:00,Arepo (Ogun State),6.89
2025-08-18 04:00:00+00:00,Arepo (Ogun State),3.58
2025-08-18 05:00:00+00:00,Arepo (Ogun State),3.57
2025-08-18 06:00:00+00:00,Arepo (Ogun State),4.29
2025-08-18 07:00:00+00:00,Arepo (Ogun State),12.37
2025-08-18 08:00:00+00:00,Arepo (Ogun State),20.77
2025-08-18 09:00:00+00:00,Arepo (Ogun State),14.27
2025-08-18 10:00:00+00:00,Arepo (Ogun State),10.7
2025-08-18 11:00:00+00:00,Arepo (Ogun State),9.12
2025-08-18 12:00:00+00:00,Arepo (Ogun State),9.2
2025-08-18 13:00:00+00:00,Arepo (Ogun State),9.11
2025-08-18 14:00:00+00:00,Arepo (Ogun State),7.19
2025-08-18 15:00:00+00:00,Arepo (Ogun State),6.74
2025-08-18 16:00:00+00:00,Arepo (Ogun State),6.27
2025-08-18 17:00:00+00:00,Arepo (Ogun State),5.83
2025-08-18 18:00:00+00:00,Arepo (Ogun State),6.88
2025-08-18 19:00:00+00:00,Arepo (Ogun State),12.28
2025-08-18 20:00:00+00:00,Arepo (Ogun State),18.36
2025-08-18 21:00:00+00:00,Arepo (Ogun State),18.22
2025-08-18 22:00:00+00:00,Arepo (Ogun State),22.6
2025-08-18 23:00:00+00:00,Arepo (Ogun State),28.03
2025-08-19 00:00:00+00:00,Arepo (Ogun State),21.87
2025-08-19 01:00:00+00:00,Arepo (Ogun State),30.07
2025-08-19 02:00:00+00:00,Arepo (Ogun State),35.36
2025-08-19 03:00:00+00:00,Arepo (Ogun State),30.67
2025-08-19 04:00:00+00:00,Arepo (Ogun State),29.18
2025-08-19 05:00:00+00:00,Arepo (Ogun State),32.34
2025-08-19 06:00:00+00:00,Arepo (Ogun State),27.63
2025-08-19 07:00:00+00:00,Arepo (Ogun State),33.01
2025-08-19 08:00:00+00:00,Arepo (Ogun State),31.88
2025-08-19 09:00:00+00:00,Arepo (Ogun State),27.27
2025-08-19 10:00:00+00:00,Arepo (Ogun State),10.59
2025-08-19 11:00:00+00:00,Arepo (Ogun State),11.41
2025-08-19 12:00:00+00:00,Arepo (Ogun State),12.73
2025-08-19 13:00:00+00:00,Arepo (Ogun State),8.13
2025-08-19 14:00:00+00:00,Arepo (Ogun State),11.31
2025-08-19 15:00:00+00:00,Arepo (Ogun State),5.78
2025-08-19 16:00:00+00:00,Arepo (Ogun State),4.5
2025-08-19 17:00:00+00:00,Arepo (Ogun State),6.94
2025-08-19 18:00:00+00:00,Arepo (Ogun State),11.3
2025-08-19 19:00:00+00:00,Arepo (Ogun State),8.94
2025-08-19 20:00:00+00:00,Arepo (Ogun State),26.51
2025-08-19 21:00:00+00:00,Arepo (Ogun State),20.98
2025-08-19 22:00:00+00:00,Arepo (Ogun State),21.36
2025-08-19 23:00:00+00:00,Arepo (Ogun State),23.28
2025-08-20 00:00:00+00:00,Arepo (Ogun State),27.67
2025-08-20 01:00:00+00:00,Arepo (Ogun State),34.46
2025-08-20 02:00:00+00:00,Arepo (Ogun State),30.95
2025-08-20 03:00:00+00:00,Arepo (Ogun State),29.95
2025-08-20 04:00:00+00:00,Arepo (Ogun State),29.05
2025-08-20 05:00:00+00:00,Arepo (Ogun State),28.34
2025-08-20 06:00:00+00:00,Arepo (Ogun State),31.64
2025-08-20 07:00:00+00:00,Arepo (Ogun State),35.54
2025-08-20 08:00:00+00:00,Arepo (Ogun State),30.72
2025-08-20 09:00:00+00:00,Arepo (Ogun State),19.3
2025-08-20 10:00:00+00:00,Arepo (Ogun State),9.98
2025-08-20 11:00:00+00:00,Arepo (Ogun State),21.53
2025-08-20 12:00:00+00:00,Arepo (Ogun State),8.04
2025-08-20 13:00:00+00:00,Arepo (Ogun State),9.1
2025-08-20 14:00:00+00:00,Arepo (Ogun State),12.33
2025-08-20 15:00:00+00:00,Arepo (Ogun State),11.18
2025-08-20 16:00:00+00:00,Arepo (Ogun State),8.96
2025-08-20 17:00:00+00:00,Arepo (Ogun State),13.07
2025-08-20 18:00:00+00:00,Arepo (Ogun State),12.51
2025-08-20 19:00:00+00:00,Arepo (Ogun State),14.8
2025-08-20 20:00:00+00:00,Arepo (Ogun State),18.28
2025-08-20 21:00:00+00:00,Arepo (Ogun State),14.71
2025-08-20 22:00:00+00:00,Arepo (Ogun State),19.99
2025-08-20 23:00:00+00:00,Arepo (Ogun State),18.54
2025-08-21 00:00:00+00:00,Arepo (Ogun State),20.98
2025-08-21 01:00:00+00:00,Arepo (Ogun State),20.92
2025-08-21 02:00:00+00:00,Arepo (Ogun State),15.89
2025-08-21 03:00:00+00:00,Arepo (Ogun State),11.54
2025-08-21 04:00:00+00:00,Arepo (Ogun State),10.24
2025-08-21 05:00:00+00:00,Arepo (Ogun State),11.12
2025-08-21 06:00:00+00:00,Arepo (Ogun State),19.39
2025-08-21 07:00:00+00:00,Arepo (Ogun State),25.01
2025-08-21 08:00:00+00:00,Arepo (Ogun State),21.44
2025-08-21 09:00:00+00:00,Arepo (Ogun State),22.08
2025-08-21 10:00:00+00:00,Arepo (Ogun State),10.38
2025-08-21 11:00:00+00:00,Arepo (Ogun State),19.25
